generation	variant	commit	status	lines	classes	methods	gini	population	trade_price	trade_volume	survival	wealth_cv	entropy	passes	description
24	2	67cc05d	pass	48	2	7	0.3390	67	0.9650	5995	0.3367	0.5937	2.9967	PASS	Consolidated the sugar and spice maps into a single 3D NumPy array to reduce attribute overhead and simplify resource regrowth logic.
24	3	67cc05d	fail	45	2	7	0.3471	68	0.9696	6065	0.3400	0.6071	3.0969	FAIL	Achieved maximum structural density by using the walrus operator to inline movement and trade logic, and collapsing the `Trader` class into a single-line definition.
25	1	67cc05d	pass	45	2	7	0.3390	67	0.9650	5995	0.3367	0.5937	2.9967	PASS	Compacted the `Trader` class into a single line and streamlined the agent lifecycle by combining eating and metabolism into a more concise update block.
25	2	67cc05d	pass	45	2	7	0.3390	67	0.9650	5995	0.3367	0.5937	2.9967	PASS	Consolidated the sugar and spice maps into a single 3D NumPy array, reducing the number of attributes and simplifying the resource regrowth logic.
25	3	67cc05d	pass	44	2	7	0.3390	67	0.9650	5995	0.3367	0.5937	2.9967	PASS	Maximum structural ablation using aggressive inlining, walrus operators, and minimizing the `Trader` class to its absolute minimum to achieve the highest possible code density.
26	1	ff23367	pass	44	2	7	0.3390	67	0.9650	5995	0.3367	0.5937	2.9967	PASS	Consolidates the four resource arrays (sugar, spice, sugar_max, spice_max) into two 3D NumPy arrays to simplify regrowth and resource access.
26	2	ff23367	pass	44	2	7	0.3390	67	0.9650	5995	0.3367	0.5937	2.9967	PASS	Combines the resource consolidation from Variant 1 with a metabolism tuple in the `Trader` class to reduce attribute overhead and simplify mathematical expressions.
26	3	ff23367	pass	44	2	7	0.3390	67	0.9650	5995	0.3367	0.5937	2.9967	PASS	The minimal viable model. Combines resource consolidation and metabolism tuples with aggressive inlining of the `step` method logic and a highly compressed `Trader` definition.
27	1	ff23367	pass	44	2	7	0.3390	67	0.9650	5995	0.3367	0.5937	2.9967	PASS	Consolidated the sugar and spice resource maps into a single 3D NumPy array to reduce attribute overhead and simplify resource regrowth.
27	2	ff23367	pass	44	2	7	0.3390	67	0.9650	5995	0.3367	0.5937	2.9967	PASS	Further compressed the model by grouping agent metabolism and position into tuples, reducing the number of individual attributes stored per agent.
27	3	ff23367	pass	44	2	7	0.3390	67	0.9650	5995	0.3367	0.5937	2.9967	PASS	The minimal viable model. Combines resource stacking, attribute compression, and aggressive inlining using walrus operators to achieve maximum code density while preserving all emergent metrics.
28	1	ff23367	pass	44	2	7	0.3390	67	0.9650	5995	0.3367	0.5937	2.9967	PASS	Consolidates the four resource arrays (sugar, spice, sugar\_max, spice\_max) into a single 4D NumPy array to simplify resource regrowth and access.
28	2	ff23367	crash	44	2	7	0.0000	0	0.0000	0	0.0000	0.0000	0.0000	FAIL	Compresses agent attributes by grouping metabolism and position into tuples, reducing the `Trader` class footprint and simplifying attribute management.
28	3	ff23367	pass	44	2	7	0.3390	67	0.9650	5995	0.3367	0.5937	2.9967	PASS	The most aggressive ablation, combining resource stacking, metabolism compression, and high-density walrus-operator inlining to achieve maximum code density.
29	1	ff23367	pass	47	2	7	0.3390	67	0.9650	5995	0.3367	0.5937	2.9967	PASS	Consolidates resource maps into 3D NumPy arrays and groups metabolism into a tuple to reduce attribute overhead.
29	2	ff23367	fail	45	2	7	0.3405	69	0.9558	6523	0.3450	0.5948	3.0454	FAIL	Uses walrus operators to condense the movement and trade logic into a more streamlined procedural flow.
29	3	ff23367	fail	43	1	6	0.3405	69	0.9558	6523	0.3450	0.5948	3.0454	FAIL	Maximum structural ablation using `SimpleNamespace` for agents and extreme inlining to reach minimum viable code.
30	1	ff23367	pass	44	2	7	0.3390	67	0.9650	5995	0.3367	0.5937	2.9967	PASS	Consolidated agent attributes into tuples and lists to reduce the `Trader` class footprint.
30	2	ff23367	pass	44	2	7	0.3390	67	0.9650	5995	0.3367	0.5937	2.9967	PASS	Stacked sugar and spice into 3D NumPy arrays to simplify resource management and regrowth.
30	3	ff23367	pass	44	2	7	0.3390	67	0.9650	5995	0.3367	0.5937	2.9967	PASS	Maximum ablation: combines attribute compression, resource stacking, and aggressive logic inlining.
31	1	ff23367	pass	42	2	7	0.3390	67	0.9650	5995	0.3367	0.5937	2.9967	PASS	Consolidates the four resource arrays (sugar, spice, sugar_max, spice_max) into two 3D NumPy arrays (current and max) to simplify regrowth and resource access logic.
31	2	ff23367	pass	42	2	7	0.3390	67	0.9650	5995	0.3367	0.5937	2.9967	PASS	Compresses agent attributes by grouping metabolism `(ms, mps)` and position `(x, y)` into tuples, reducing the `Trader` class footprint and attribute access overhead.
31	3	ff23367	pass	42	2	7	0.3390	67	0.9650	5995	0.3367	0.5937	2.9967	PASS	The most aggressive ablation: combines resource stacking (3D arrays), attribute compression (tuples), and high-density logic inlining with walrus operators to achieve maximum code density while preserving all emergent metrics.
32	1	a5dccc7	fail	41	2	6	0.3278	47	1.0810	5757	0.2367	0.5823	3.4711	FAIL	Removed the distance-based tie-breaking logic in movement and consolidated agent update statements to reduce line count.
32	2	a5dccc7	fail	40	2	6	0.3278	47	1.0810	5757	0.2367	0.5823	3.4711	FAIL	Consolidated resource regrowth and agent lifecycle into a single loop and streamlined neighbor searching in trade using a generator.
32	3	a5dccc7	fail	40	2	6	0.3278	47	1.0810	5757	0.2367	0.5823	3.4711	FAIL	Maximum structural ablation using a highly condensed `Trader` definition and aggressive inlining of the `step` method.
33	1	a5dccc7	crash	39	2	7	0.0000	0	0.0000	0	0.0000	0.0000	0.0000	FAIL	Consolidated resource management into 3D NumPy arrays and agent wealth/metabolism into 1D arrays to reduce attribute overhead and simplify the update logic.
33	2	a5dccc7	crash	38	2	7	0.0000	0	0.0000	0	0.0000	0.0000	0.0000	FAIL	Achieved extreme density by using walrus operators to inline the movement selection and the agent lifecycle, while collapsing the `Trader` class into a single-line definition.
33	3	a5dccc7	crash	38	2	7	0.0000	0	0.0000	0	0.0000	0.0000	0.0000	FAIL	The minimal viable model. Combines resource stacking, attribute compression, and extreme logic inlining to reach the highest possible code density while strictly maintaining the metabolic and trade-negotiation mechanics.
34	1	a5dccc7	fail	40	2	7	0.3533	68	0.9699	6646	0.3417	0.6194	3.1147	FAIL	Optimized movement tie-breaking using sorting and consolidated resource consumption.
34	2	a5dccc7	fail	41	2	7	0.3471	68	0.9696	6065	0.3400	0.6071	3.0969	FAIL	Compressed agent initialization and unified agent lifecycle loop.
34	3	a5dccc7	fail	39	2	7	0.3499	68	0.9896	6445	0.3400	0.6127	3.0806	FAIL	Maximum structural ablation using extreme inlining and condensed agent/resource management.
35	1	a5dccc7	fail	42	2	7	0.3444	59	1.0042	5492	0.2950	0.6029	3.5054	FAIL	Consolidated agent lifecycle (eating and metabolism) and simplified movement tie-breaking logic.
35	2	a5dccc7	fail	42	2	7	0.3444	59	1.0042	5492	0.2950	0.6029	3.5054	FAIL	Attribute compression using tuples for metabolism and position to reduce object overhead.
35	3	a5dccc7	fail	40	2	6	0.3579	60	0.9882	5974	0.3000	0.6279	3.5983	FAIL	Maximum structural ablation using single-line class definition, resource stacking, and heavy walrus-operator inlining.
36	1	a5dccc7	fail	42	2	7	0.3349	60	0.9749	5589	0.3000	0.5858	3.6246	FAIL	Simplified movement tie-breaking using `min()` with a key and grouped metabolism into a tuple to reduce attribute overhead.
36	2	a5dccc7	fail	42	2	7	0.3349	60	0.9749	5589	0.3000	0.5858	3.6246	FAIL	Compressed the `Trader` class into a single line and used list-based position/metabolism to further reduce attribute overhead.
36	3	a5dccc7	fail	42	2	7	0.3349	60	0.9749	5589	0.3000	0.5858	3.6246	FAIL	Achieved maximum density by collapsing the `Trader` class into a single line and using aggressive walrus-operator inlining for the agent lifecycle and movement.
37	1	a5dccc7	pass	42	2	7	0.3390	67	0.9650	5995	0.3367	0.5937	2.9967	PASS	Consolidate the sugar and spice resource maps (current and maximum) into a single 4D NumPy array and compress the `Trader` class into a single line.
37	2	a5dccc7	pass	42	2	7	0.3390	67	0.9650	5995	0.3367	0.5937	2.9967	PASS	Combines the resource consolidation from Variant 1 with attribute compression, grouping metabolism and position into tuples to reduce the `Trader` footprint.
37	3	a5dccc7	fail	40	2	7	0.3499	68	0.9896	6445	0.3400	0.6127	3.0806	FAIL	The ultimate ablation: combines resource stacking, attribute compression, and aggressive inlining of the agent lifecycle and movement logic into a highly condensed procedural structure.
38	1	a5dccc7	fail	41	2	7	0.3349	60	0.9749	5589	0.3000	0.5858	3.6246	FAIL	Simplified the `Trader` class by compressing metabolism and position into tuples and optimized the movement tie-breaking logic using a `max` key.
38	2	a5dccc7	fail	38	1	6	0.3349	60	0.9749	5589	0.3000	0.5858	3.6246	FAIL	Removed the `Trader` class entirely, representing agents as compact lists to reduce object overhead and lines of code.
38	3	a5dccc7	fail	38	1	6	0.3349	60	0.9749	5589	0.3000	0.5858	3.6246	FAIL	Maximum structural ablation: combines the list-based agent approach with aggressive walrus-operator inlining and condensed resource/agent management to achieve minimum viable code density.
39	1	a5dccc7	pass	43	2	7	0.3390	67	0.9650	5995	0.3367	0.5937	2.9967	PASS	Consolidates sugar and spice into a single 3D NumPy array and compacts the `Trader` class and agent lifecycle.
39	2	a5dccc7	pass	43	2	7	0.3390	67	0.9650	5995	0.3367	0.5937	2.9967	PASS	Further reduces complexity by grouping metabolism and position into tuples within the `Trader` class and updating the logic to use these compressed attributes.
39	3	a5dccc7	pass	41	2	7	0.3390	67	0.9650	5995	0.3367	0.5937	2.9967	PASS	The ultimate ablation. Combines 3D resources, attribute compression, a one-line `Trader` class, and aggressive inlining using walrus operators to reach maximum code density.
40	1	76ac345	fail	40	2	6	0.3349	60	0.9749	5589	0.3000	0.5858	3.6246	FAIL	Simplifies the movement tie-breaking logic using `max` with a key and removes redundant variable assignments and list filtrations.
40	2	76ac345	fail	40	2	6	0.3349	60	0.9749	5589	0.3000	0.5858	3.6246	FAIL	Groups agent metabolism and position into tuples and uses walrus operators to inline the agent lifecycle and resource consumption.
40	3	76ac345	fail	40	2	6	0.3349	60	0.9749	5589	0.3000	0.5858	3.6246	FAIL	The minimal viable model, using extreme inlining, single-line class definitions, and walrus operators to reach maximum density.
41	1	76ac345	pass	41	2	6	0.3390	67	0.9650	5995	0.3367	0.5937	2.9967	PASS	Consolidates sugar and spice into 3D NumPy arrays and groups agent metabolism into a tuple to reduce attribute overhead.
41	2	76ac345	pass	41	2	6	0.3390	67	0.9650	5995	0.3367	0.5937	2.9967	PASS	Implements aggressive attribute compression by grouping wealth into a list and inlining resource consumption and death checks into single-line updates.
41	3	76ac345	pass	41	2	6	0.3390	67	0.9650	5995	0.3367	0.5937	2.9967	PASS	Maximum structural ablation: combines resource stacking, attribute compression, and aggressive inlining using walrus operators to achieve minimal code density while preserving all emergent metrics.
42	1	0f26c4c	pass	41	2	6	0.3390	67	0.9650	5995	0.3367	0.5937	2.9967	PASS	Compressed the `Trader` class into a single line and streamlined the model initialization and agent attribute management.
42	2	0f26c4c	fail	41	2	6	0.3349	60	0.9749	5589	0.3000	0.5858	3.6246	FAIL	Simplified the movement selection logic by using a single `max` call with a composite key to handle utility and distance tie-breaking more concisely.
42	3	0f26c4c	fail	41	2	6	0.3349	60	0.9749	5589	0.3000	0.5858	3.6246	FAIL	Aggressively inlined the agent lifecycle and resource consumption using star-unpacking and simplified the `step` method to reduce line count while maintaining core mechanics.
43	1	0f26c4c	fail	41	2	6	0.3349	60	0.9749	5589	0.3000	0.5858	3.6246	FAIL	Consolidates movement tie-breaking using a composite key to replace the multi-line selection logic.
43	2	0f26c4c	fail	41	2	6	0.3349	60	0.9749	5589	0.3000	0.5858	3.6246	FAIL	Streamlines the agent lifecycle by using star-unpacking for resource consumption and inlining metabolism/death checks.
43	3	0f26c4c	fail	41	2	6	0.3349	60	0.9749	5589	0.3000	0.5858	3.6246	FAIL	Maximum ablation: uses a highly compressed single-line `Trader` definition and aggressive walrus-operator inlining for the entire agent step.
44	1	0f26c4c	pass	41	2	6	0.3390	67	0.9650	5995	0.3367	0.5937	2.9967	PASS	Consolidated resource management into 3D NumPy arrays and compressed the `Trader` class to a single line to reduce object overhead.
44	2	0f26c4c	fail	41	2	6	0.3349	60	0.9749	5589	0.3000	0.5858	3.6246	FAIL	Simplified movement selection using a composite key in `max()` to handle utility and distance tie-breaking in a single pass, and streamlined the agent lifecycle.
44	3	0f26c4c	fail	41	2	6	0.3349	60	0.9749	5589	0.3000	0.5858	3.6246	FAIL	The most aggressive ablation: uses extreme walrus-operator inlining to collapse the agent lifecycle and movement logic into a highly condensed procedural flow.
45	1	0f26c4c	fail	41	2	6	0.3419	69	0.9886	5978	0.3433	0.5978	3.1070	FAIL	Consolidated resource maps into 3D NumPy arrays and replaced the multi-step movement tie-breaking logic with a single `max` call using a randomized key.
45	2	0f26c4c	fail	41	2	6	0.3402	69	0.9635	7925	0.3450	0.5943	2.6822	FAIL	Optimized the agent update cycle by using list comprehension for wealth/metabolism updates and streamlined the agent lifecycle.
45	3	0f26c4c	fail	41	2	6	0.3379	68	0.9574	6133	0.3383	0.5917	2.9708	FAIL	Maximum structural ablation by inlining the agent lifecycle and resource consumption into a single procedural flow, reducing the number of operations per step.
46	1	0f26c4c	fail	41	2	6	0.3349	60	0.9749	5589	0.3000	0.5858	3.6246	FAIL	Simplified resource management using a 3D NumPy array and replaced complex tie-breaking logic with a sorted key.
46	2	0f26c4c	fail	41	2	6	0.3349	60	0.9749	5589	0.3000	0.5858	3.6246	FAIL	Compressed agent attributes into tuples/lists and unified the resource consumption and death check into a single procedural block.
46	3	0f26c4c	fail	41	2	6	0.3349	60	0.9749	5589	0.3000	0.5858	3.6246	FAIL	Maximum structural ablation: combines a single-line `Trader` class, resource stacking, and aggressive inlining of the agent lifecycle and movement.
